company_id,type,rule_id,text,confidence_pct
ABB,Pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,90
ABB,Pro,P2,Positive free cash flow indicates healthy cash generation.,85
ABB,Pro,P6,High interest coverage indicates low financial stress.,80
ABB,Con,C0,Valuation and market conditions should continue to be monitored.,65
ADANIENSOL,Pro,P2,Positive free cash flow indicates healthy cash generation.,85
ADANIENSOL,Pro,P4,Revenue CAGR above 15% reflects strong business momentum.,88
ADANIENSOL,Pro,P5,Strong operating margins indicate pricing power.,82
ADANIENSOL,Con,C1,Debt-to-equity ratio of 2.93 is elevated.,90
ADANIENT,Pro,P4,Revenue CAGR above 15% reflects strong business momentum.,88
ADANIENT,Con,C2,Negative free cash flow raises concerns over cash generation.,85
ADANIGREEN,Pro,P4,Revenue CAGR above 15% reflects strong business momentum.,88
ADANIGREEN,Pro,P5,Strong operating margins indicate pricing power.,82
ADANIGREEN,Con,C1,Debt-to-equity ratio of 6.60 is elevated.,90
ADANIGREEN,Con,C2,Negative free cash flow raises concerns over cash generation.,85
ADANIGREEN,Con,C5,ROCE below 10% indicates weak capital efficiency.,80
ADANIPORTS,Pro,P2,Positive free cash flow indicates healthy cash generation.,85
ADANIPORTS,Pro,P4,Revenue CAGR above 15% reflects strong business momentum.,88
ADANIPORTS,Pro,P5,Strong operating margins indicate pricing power.,82
ADANIPORTS,Con,C0,Valuation and market conditions should continue to be monitored.,65
ADANIPOWER,Pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,90
ADANIPOWER,Pro,P2,Positive free cash flow indicates healthy cash generation.,85
ADANIPOWER,Pro,P4,Revenue CAGR above 15% reflects strong business momentum.,88
ADANIPOWER,Pro,P5,Strong operating margins indicate pricing power.,82
ADANIPOWER,Con,C0,Valuation and market conditions should continue to be monitored.,65
AMBUJACEM,Pro,P6,High interest coverage indicates low financial stress.,80
AMBUJACEM,Con,C2,Negative free cash flow raises concerns over cash generation.,85
AMBUJACEM,Con,C6,Revenue CAGR below 5% suggests limited growth.,75
APOLLOHOSP,Pro,P2,Positive free cash flow indicates healthy cash generation.,85
APOLLOHOSP,Con,C0,Valuation and market conditions should continue to be monitored.,65
ASIANPAINT,Pro,P1,Consistently high return on equity demonstrates strong capital efficiency.,90
